Date,Price
2022-12-30,0.9376
2022-12-29,0.9391
2022-12-28,0.9398
2022-12-27,0.9413
2022-12-23,0.9414
2022-12-22,0.9405
2022-12-21,0.9402
2022-12-20,0.9435
2022-12-19,0.9436
2022-12-16,0.9417
2022-12-15,0.9415
2022-12-14,0.9391
2022-12-13,0.9483
2022-12-12,0.9468
2022-12-09,0.9471
2022-12-08,0.9507
2022-12-07,0.9498
2022-12-06,0.9509
2022-12-05,0.9446
2022-12-02,0.9489
2022-12-01,0.9566
2022-11-30,0.9638
2022-11-29,0.9647
2022-11-28,0.9557
2022-11-25,0.9639
2022-11-24,0.9603
2022-11-23,0.9685
2022-11-22,0.9733
2022-11-21,0.976
2022-11-18,0.9647
2022-11-17,0.9691
2022-11-16,0.9604
2022-11-15,0.9612
2022-11-14,0.9691
2022-11-11,0.9701
2022-11-10,1.0046
2022-11-09,0.9961
2022-11-08,1.0004
2022-11-07,1.0007
2022-11-04,1.013
2022-11-03,1.0253
2022-11-02,1.0093
2022-11-01,1.0053
2022-10-31,1.0087
2022-10-28,1.0049
2022-10-27,0.9963
2022-10-26,0.9977
2022-10-25,1.0141
2022-10-24,1.0151
2022-10-21,1.0277
2022-10-20,1.0193
2022-10-19,1.0227
2022-10-18,1.0168
2022-10-17,1.0268
2022-10-14,1.0291
2022-10-13,1.0268
2022-10-12,1.0303
2022-10-11,1.0285
2022-10-10,1.0312
2022-10-07,1.0207
2022-10-06,1.0142
2022-10-05,1.0086
2022-10-04,1.011
2022-10-03,1.0242
2022-09-30,1.0259
2022-09-29,1.0303
2022-09-28,1.0455
2022-09-27,1.0369
2022-09-26,1.0367
2022-09-23,1.0252
2022-09-22,1.0117
2022-09-21,1.0095
2022-09-20,1.0014
2022-09-19,1.001
2022-09-16,1.0046
2022-09-15,1.0008
2022-09-14,1.001
2022-09-13,0.9828
2022-09-12,0.9847
2022-09-09,0.9951
2022-09-08,0.9991
2022-09-07,1.0116
2022-09-06,1.0073
2022-09-05,1.0081
2022-09-02,1.0007
2022-09-01,0.9996
2022-08-31,1.0
2022-08-30,0.9966
2022-08-29,1.0014
2022-08-26,0.9993
2022-08-25,1.003
2022-08-24,1.0066
2022-08-23,1.0074
2022-08-22,0.9999
2022-08-19,0.9946
2022-08-18,0.9825
2022-08-17,0.9839
2022-08-16,0.9871
2022-08-15,0.9809
2022-08-12,0.9723
2022-08-11,0.9673
2022-08-10,0.9754
2022-08-09,0.9771
2022-08-08,0.9805
2022-08-05,0.9772
2022-08-04,0.9822
2022-08-03,0.981
2022-08-02,0.9781
2022-08-01,0.9772
2022-07-29,0.9806
2022-07-28,0.9879
2022-07-27,0.985
2022-07-26,0.9878
2022-07-25,0.9769
2022-07-22,0.9814
2022-07-21,0.9805
2022-07-20,0.9805
2022-07-19,0.9761
2022-07-18,0.9871
2022-07-15,0.9941
2022-07-14,0.9995
2022-07-13,0.9933
2022-07-12,0.9958
2022-07-11,0.9903
2022-07-08,0.984
2022-07-07,0.9823
2022-07-06,0.9826
2022-07-05,0.9718
2022-07-04,0.9565
