Date,Price
2021-01-01,0.821000
2021-01-04,0.816280
2021-01-05,0.816220
2021-01-06,0.812990
2021-01-07,0.810300
2021-01-08,0.814900
2021-01-11,0.820600
2021-01-12,0.822321
2021-01-13,0.819075
2021-01-14,0.822200
2021-01-15,0.822960
2021-01-18,0.828630
2021-01-19,0.828000
2021-01-20,0.823800
2021-01-21,0.825380
2021-01-22,0.821943
2021-01-25,0.821730
2021-01-26,0.823300
2021-01-27,0.822166
2021-01-28,0.826100
2021-01-29,0.825080
2021-02-01,0.824820
2021-02-02,0.828590
2021-02-03,0.830630
2021-02-04,0.830400
2021-02-05,0.835650
2021-02-08,0.829960
2021-02-09,0.829628
2021-02-10,0.825083
2021-02-11,0.825000
2021-02-12,0.824300
2021-02-15,0.824940
2021-02-16,0.824253
2021-02-17,0.826960
2021-02-18,0.830013
2021-02-19,0.827000
2021-02-22,0.824650
2021-02-23,0.821909
2021-02-24,0.822900
2021-02-25,0.821600
2021-02-26,0.822340
2021-03-01,0.827160
2021-03-02,0.829800
2021-03-03,0.827440
2021-03-04,0.829830
2021-03-05,0.835580
2021-03-08,0.838530
2021-03-09,0.843760
2021-03-10,0.840484
2021-03-11,0.838500
2021-03-12,0.834300
2021-03-15,0.836820
2021-03-16,0.838520
2021-03-17,0.840220
2021-03-18,0.834530
2021-03-19,0.839050
2021-03-22,0.841530
2021-03-23,0.838010
2021-03-24,0.844580
2021-03-25,0.846520
2021-03-26,0.849140
2021-03-29,0.848320
2021-03-30,0.849545
2021-03-31,0.852980
2021-04-01,0.852600
2021-04-02,0.848900
2021-04-05,0.849750
2021-04-06,0.846100
2021-04-07,0.842160
2021-04-08,0.842200
2021-04-09,0.839230
2021-04-12,0.840300
2021-04-13,0.839300
2021-04-14,0.836530
2021-04-15,0.834300
2021-04-16,0.835300
2021-04-19,0.835460
2021-04-20,0.830200
2021-04-21,0.831090
2021-04-22,0.830720
2021-04-23,0.832310
2021-04-26,0.827140
2021-04-27,0.827700
2021-04-28,0.827109
2021-04-29,0.824000
2021-04-30,0.824600
2021-05-03,0.831410
2021-05-04,0.829100
2021-05-05,0.832290
2021-05-06,0.832780
2021-05-07,0.828600
2021-05-10,0.821620
2021-05-11,0.823660
2021-05-12,0.823418
2021-05-13,0.827917
2021-05-14,0.828000
2021-05-17,0.823020
2021-05-18,0.822580
2021-05-19,0.818063
2021-05-20,0.821500
2021-05-21,0.817970
2021-05-24,0.820800
2021-05-25,0.818690
2021-05-26,0.816387
2021-05-27,0.820170
2021-05-28,0.820130
2021-05-31,0.820340
2021-06-01,0.817470
2021-06-02,0.818480
2021-06-03,0.819010
2021-06-04,0.824198
2021-06-07,0.821800
2021-06-08,0.820100
2021-06-09,0.821500
2021-06-10,0.820883
2021-06-11,0.821520
2021-06-14,0.825750
2021-06-15,0.824930
2021-06-16,0.824600
2021-06-17,0.833640
2021-06-18,0.839390
2021-06-21,0.842200
2021-06-22,0.839450
2021-06-23,0.837750
2021-06-24,0.838000
2021-06-25,0.838200
2021-06-28,0.837370
2021-06-29,0.838300
2021-06-30,0.840200
2021-07-01,0.843400
2021-07-02,0.844150
2021-07-05,0.843440
2021-07-06,0.842900
2021-07-07,0.845700
2021-07-08,0.847932
2021-07-09,0.844024
2021-07-12,0.842250
2021-07-13,0.842800
2021-07-14,0.849230
2021-07-15,0.845070
2021-07-16,0.846610
2021-07-19,0.846453
2021-07-20,0.847900
2021-07-21,0.848600
2021-07-22,0.847980
2021-07-23,0.849420
2021-07-26,0.849370
2021-07-27,0.846900
2021-07-28,0.845800
2021-07-29,0.844170
2021-07-30,0.840831
2021-08-02,0.842670
2021-08-03,0.842130
2021-08-04,0.842500
2021-08-05,0.844780
2021-08-06,0.844900
2021-08-09,0.851100
2021-08-10,0.851900
2021-08-11,0.853000
2021-08-12,0.851651
2021-08-13,0.852060
2021-08-16,0.847840
2021-08-17,0.848900
2021-08-18,0.853990
2021-08-19,0.854460
2021-08-20,0.856414
2021-08-23,0.854880
2021-08-24,0.851460
2021-08-25,0.850840
2021-08-26,0.849300
2021-08-27,0.850600
2021-08-30,0.847529
2021-08-31,0.847680
2021-09-01,0.846720
2021-09-02,0.844530
2021-09-03,0.842000
2021-09-06,0.841330
2021-09-07,0.842100
2021-09-08,0.844340
2021-09-09,0.846088
2021-09-10,0.845600
2021-09-13,0.846600
2021-09-14,0.846600
2021-09-15,0.847100
2021-09-16,0.846024
2021-09-17,0.849800
2021-09-20,0.852520
2021-09-21,0.852500
2021-09-22,0.853030
2021-09-23,0.855600
2021-09-24,0.851770
2021-09-27,0.853020
2021-09-28,0.854935
2021-09-29,0.855700
2021-09-30,0.861950
2021-10-01,0.863970
2021-10-04,0.861530
2021-10-05,0.860700
2021-10-06,0.862360
2021-10-07,0.865400
